grade,correct,total,accuracy
PSA_1,636,939,67.73162939297124
PSA_2,560,761,73.58738501971091
PSA_3,681,1236,55.09708737864077
PSA_4,675,1112,60.701438848920866
PSA_5,509,750,67.86666666666666
PSA_6,396,1564,25.31969309462916
PSA_7,531,1516,35.02638522427441
PSA_8,853,1153,73.98091934084997
PSA_9,374,1392,26.867816091954023
PSA_10,723,1277,56.617071260767425
