"fold","exact_match","within_1","within_2"
1,0.102240091901206,0.290637564618036,0.463526708788053
2,0.0966458214894827,0.281978396816373,0.458783399658897
3,0.119904076738609,0.303956834532374,0.482613908872902
4,0.0934891485809683,0.290484140233723,0.474123539232053
5,0.103409090909091,0.292045454545455,0.468181818181818
